Entr th    nd with him, False
  Whn thi trn ubtnc of my o, False
Did iu impriond in my wnton f, False
Ech in thir function ruing othr n, False
 w  courtir in th Spnih cour, False
My nm w Don Andr my dicn, False
Though not ignob yt infriour f, False
To grtiou fortun of my tndr yout, False
or thr in prim nd prid of  my y, False
By dutou ruic nd druing o, False
In crt  pot  worthy d, False
Which hight wt Bimpri by n, False
But in th hrut of my ommr io, False
Dth wintr nipt th boom of my b, False
orcing diuorc btwixt my ou nd , False
or in th t confict with Portin, False
My vour drw m into dngr mout, False
Ti if to dth md pg through my woun, False
Whn  w in my ou dcndd trigh, False
To p th fowing trm of Archro, False
But churih Chron ony botmn th, False
Sid tht my rit of buri not prform, False
 might not it mongt hi png, False
Er So hd pt thr night in Thti , False
And kt hi moking chrriot in hr fou, False
By Don Hortio our knightmrh on, False
My funr nd obqui wr do, False
Thn w th frimn of h contn, False
To p m our to th imi tron, False
Tht d to f Aurnu ougy w, False
Thr ping Crbru with honid pc, False
 pt th pri of th formot porc, False
Not frr from hnc midt tn thound o, False
St Mino Ecu nd Rhdmn, False
To whom no oonr gn  mk pproc, False
To cru  pport for my wndring gho, False
But Mino in grun u of ottr, False
Drw forth th mnnr of my if nd dt, False
Thi knight quoth h both iud nd did in o, False
And for hi ou trid fortun of th wr, False
And by wrr fortun ot both ou nd i, False
Why thn id Ecu convy him hn, False
To wk with ovr in our fid of o, False
And th cour of urting ti, False
Vndr grn mirttr nd cipr h, False
No no id Rhdmnt it wr not , False
With ouing ou to pc  mrtii, False
 did in wrr nd mut to mrti fi, False
Whr woundd Hctor iu in ting pi, False
And Achi Mrmdon do cour th pi, False
Thn Mino midt cnor of th th, False
Md thi duic to nd th diffrn, False
Snd him quoth h to our infrn kin, False
To dom him  bt m hi Mit, False
To thi ffct my pport tright w drw, False
In kping on my wy to Puto cour, False
Through drdfu hd of urgooming nigh, False
 w mor ight thn thound tongu cn , False
Or pnn cn writ or mort hrt cn thin, False
Thr wi thr wr tht on th right hnd i, False
 rdy wy vnto th forid fi, False
Whr our iu nd boudi mrtii, False
But ithr ort contind within hi boun, False
Th ft hnd pth dcining frfu, False
 rdy downf to th dpt , False
Whr boudi uri hk thir whip of , False
And poor Ixion turn n nd w, False
Whr vurr r chokt with mting go, False
And wnton r imbrt with ougy n, False
And murdrr gron with nurkiing woun, False
And priurd wight cdd in boiing , False
And  fou inn with tormnt ourwhm, False
Twixt th two wi  trod th midd pt, False
Which brought m to th fir Eizin gr, False
In midt whrof thr tnd  tty tow, False
Th w of br th gt of dmn, False
Hr finding Puto with hi Prorpi, False
 hwd my pport humbd on my k, False
Whrt fir Prorpin bgn to m, False
And bgd tht ony h might giu m doo, False
Puto w pd nd d it with  k, False
orthwith Rung h roundd th in th , False
And bd th d m though th gt of hor, False
Whr drm hu pg in th int nigh, False
No oonr hd h pok but w wr h, False
 wot not how in th twinking of n , False
  Thn know Andr tht thou riu, False
Whr thou ht  th uthor of thy dt, False
Don Bthzr th princ of Portin, False
Dpriud of if by Bimpr, False
Hr it w down to  th mitr, False
And ru for Choru in thi trgd, False
Entr    , False
  Now y ord gnr how fr our cm, False
   w my ourign ig xcpt om f, False
Tht r dct by fortun of th wr, False
  But wht portnd thy chrfu countnn, False
And poting to our prnc thi in h, False
Spk mn  hth fortun giun v victor, False
  Victori my ig nd tht with itt , False
  Out Portug wi py v tribut th, False
  Tribut nd wontd homg thrwit, False
  Thn bt b Hun nd Guidr of th hu, False
rom who fir infunc uch iutic fo, False
   mutum dict Do tibi miitt th, False
Et coniurt curto popit gn, False
Succumbnt rcto oror t victori iur, False
  Thnk to my oving brothr of Ct, False
But gnr vnfod in brf dicou, False
Your form of btt nd your wrr uc, False
Tht dding  th pur of thy n, False
Vnto th hight of formr hppi, False
With dpr wg nd gnti dignit, False
 my rwrd thy bifu chiur, False
  Whr Spin nd Porting do ioynty kni, False
Thir frontir ning on ch othr boun, False
Thr mt our rmi in th proud r, False
Both furniht w both fu of hop nd f, False
Both mncing ik with dring ho, False
Both vunting undry coour of dui, False
Both chry ounding trumpt drum nd fi, False
Both riing drdfu cmor to th k, False
Tht vi hi nd riur md rboun, False
And hun itf w frightd with th oun, False
Our btt both wr pitcht in qudron for, False
Ech cornr trongy fnt with wing of ho, False
But r w ioynd nd cm to puh of pi, False
 brought  qudron of our rdit ho, False
rom out our rrwrd to bgin th figh, False
Thy brought nothr wing to incountr , False
Mnwhi our ordinnc pid on ithr i, False
And cptin trou to hu thir vour tri, False
Don Pdro thir chif hormn coro, False
Did with hi cornt bruy mk ttmp, False
To brk our ordr of our btt rn, False
But Don Rogro worthy mn of wr, False
Mrcht forth gint him with our mukti, False
And topt th mic of hi f pproc, False
Whi thy mintin hot kirmih too nd fr, False
Both btti ioyn nd f to hndi bo, False
Thir viont hot rmbing th ocn r, False
Whn roring owd nd with  wing ti, False
It bt vpon th rmpir of hug roc, False
